"","holding_country","origCty","n","hold_lat","hold_long","orig_lat","orig_long"
"1","Albania","Albania",6,41.1416589489166,20.0610827672695,41.1416589489166,20.0610827672695
"27","Armenia","Armenia",10,40.1784127423068,45.0549083196526,40.1784127423068,45.0549083196526
"31","Australia","Australia",468,-25.6973376739831,134.022771709162,-25.6973376739831,134.022771709162
"107","Austria","Austria",1,47.6318582698958,13.797778364631,47.6318582698958,13.797778364631
"109","Azerbaijan","Azerbaijan",23,40.3920509942049,48.6345926706443,40.3920509942049,48.6345926706443
"116","Bulgaria","Bulgaria",22,42.8204367730244,25.2517391225619,42.8204367730244,25.2517391225619
"146","Brazil","Brazil",1647,-11.5246304164267,-54.3552066082564,-11.5246304164267,-54.3552066082564
"162","Czechia","Czechia",6,49.7491737093098,15.3832732920235,49.7491737093098,15.3832732920235
"163","Czechia","Czechia",2,49.7491737093098,15.3832732920235,49.7491737093098,15.3832732920235
"179","Germany","Germany",1,51.0830453980048,10.4261714274308,51.0830453980048,10.4261714274308
"180","Germany","Germany",7,51.0830453980048,10.4261714274308,51.0830453980048,10.4261714274308
"204","Spain","Spain",61,40.3650083366838,-3.6516251409957,40.3650083366838,-3.6516251409957
"208","Ethiopia","Ethiopia",4,8.7293895570484,39.9149028865443,8.7293895570484,39.9149028865443
"222","United Kingdom","United Kingdom",1,53.9784473508021,-2.85294390932926,53.9784473508021,-2.85294390932926
"241","Ghana","Ghana",176,7.94530467243628,-1.21923336252658,7.94530467243628,-1.21923336252658
"242","Greece","Greece",2,39.4201226172798,23.1103689361619,39.4201226172798,23.1103689361619
"260","Hungary","Hungary",107,47.2252733248629,19.3962004836614,47.2252733248629,19.3962004836614
"320","India","India",6817,23.5863005677467,81.1730040853018,23.5863005677467,81.1730040853018
"374","Israel","Israel",17,31.5135422200432,35.027923472437,31.5135422200432,35.027923472437
"376","Italy","Italy",25,42.9820112761427,12.7636571661231,42.9820112761427,12.7636571661231
"378","Jordan","Jordan",7,31.3870648844492,36.9572888454725,31.3870648844492,36.9572888454725
"388","Kenya","Kenya",4050,0.689918231837618,37.9530941126237,0.689918231837618,37.9530941126237
"395","Mali","Mali",507,17.1681462085848,-4.34639984178115,17.1681462085848,-4.34639984178115
"396","Nigeria","Nigeria",2267,9.61029352034213,8.14771484525619,9.61029352034213,8.14771484525619
"397","Pakistan","Pakistan",1,30.1161883714109,69.0883509076965,30.1161883714109,69.0883509076965
"400","Portugal","Portugal",28,39.6752921470214,-7.93366218387401,39.6752921470214,-7.93366218387401
"411","Romania","Romania",34,45.8245489439759,25.0941582015633,45.8245489439759,25.0941582015633
"417","Sudan","Sudan",6979,15.6706023098426,29.9514582835941,15.6706023098426,29.9514582835941
"418","Slovenia","Slovenia",1,46.137592295645,14.8906368999738,46.137592295645,14.8906368999738
"419","Sweden","Sweden",1,62.7342098610845,17.062431988005,62.7342098610845,17.062431988005
"421","Uganda","Uganda",4,1.28217292184162,32.3437176846312,1.28217292184162,32.3437176846312
"451","Ukraine","Ukraine",341,48.6575325155638,31.2737720844264,48.6575325155638,31.2737720844264
"560","United States","United States",5655,38.8208089190304,-96.3316166082964,38.8208089190304,-96.3316166082964
"572","Zambia","Zambia",922,-13.1628329531862,27.755213634309,-13.1628329531862,27.755213634309
