"country","region","num_accessions","prc.score","temp.score","fc.score"
"Botswana","South Africa",40,0.548328197095777,0,0.548328197095777
"Burkina Faso","West Africa",25,0.452725294130353,0,0.452725294130353
"Cameroon","West Africa",28,0.145930398688696,0,0.145930398688696
"China","Asia",73,0.263628924560049,0.242737360143448,0.506366284703498
"Eritrea","East Africa",7,0.243547758982237,0,0.243547758982237
"Ethiopia","East Africa",84,0.317602100739165,0.000177913220823068,0.317780013959988
"India","Asia",265,0.340551548328046,8.92803889323649e-07,0.340552441131936
"Kenya","East Africa",32,0.235380301197835,0,0.235380301197835
"Lesotho","South Africa",79,0.666933678019426,0.0188472309674681,0.685780908986894
"Malawi","South Africa",12,0.448948124582678,0,0.448948124582678
"Mali","West Africa",34,0.40397449354372,0,0.40397449354372
"Nigeria","West Africa",70,0.432661738038788,0,0.432661738038788
"Senegal","West Africa",11,0.462669134012502,0,0.462669134012502
"Somalia","East Africa",17,0.32716782713565,0,0.32716782713565
"South Africa","South Africa",110,0.480987283969641,0.0325185010033792,0.51350578497302
"South Sudan","East Africa",12,0.452213789448882,0,0.452213789448882
"Sudan","East Africa",56,0.502309028143001,0,0.502309028143001
"Swaziland","South Africa",62,0.503340884055398,0,0.503340884055398
"Togo","West Africa",16,0.562915385669648,0,0.562915385669648
"Turkey","Middle East",13,0.170610371829198,0.0125460702464782,0.183156442075676
"Uganda","East Africa",35,0.519351495353242,0,0.519351495353242
"United Republic of Tanzania","East Africa",12,0.326212140293977,2.49564445889749e-05,0.326237096738566
"Yemen","Middle East",77,0.215863547797561,0,0.215863547797561
"Zambia","South Africa",12,0.596130356129916,0,0.596130356129916
"Zimbabwe","South Africa",126,0.44860095960477,0,0.44860095960477
