"","country","region","temp_score","prc_score","num_accessions","gs.score"
"4","Benin","West Africa",0.048951048951049,0,26,0.048951048951049
"5","Botswana","South Africa",0,0.00574712643678161,29,0.00574712643678161
"6","Burkina Faso","West Africa",0.209188660801564,0.00716845878136201,93,0.216357119582926
"7","Burundi","East Africa",0,0.0277777777777778,18,0.0277777777777778
"8","Cameroon","West Africa",0.034965034965035,0,26,0.034965034965035
"9","Central African Republic","West Africa",0,0,18,0
"11","China","Asia",0.0909090909090909,0,29,0.0909090909090909
"13","Eritrea","East Africa",0.116883116883117,0.0238095238095238,7,0.140692640692641
"14","Ethiopia","East Africa",0.0215716486902928,0.000941619585687382,177,0.0225132682759802
"15","Gambia","West Africa",0.0606060606060606,0.138888888888889,6,0.19949494949495
"16","Ghana","West Africa",0.0053475935828877,0,17,0.0053475935828877
"17","India","Asia",0.105190881625927,0.066968781470292,331,0.172159663096219
"22","Kenya","East Africa",0.020979020979021,0.179487179487179,39,0.2004662004662
"23","Lesotho","South Africa",0,0,11,0
"24","Malawi","South Africa",0.0454545454545455,0.0833333333333333,18,0.128787878787879
"25","Mali","West Africa",0.0371318822023047,0.0422535211267606,71,0.0793854033290653
"26","Mozambique","South Africa",0.0165289256198347,0.136363636363636,11,0.152892561983471
"28","Namibia","South Africa",0,0,19,0
"29","Niger","West Africa",0.00252525252525253,0.00925925925925926,36,0.0117845117845118
"30","Nigeria","West Africa",0.0791027154663518,0.00541125541125541,154,0.0845139708776072
"31","Pakistan","Middle East",0.0340909090909091,0.03125,16,0.0653409090909091
"33","Rwanda","East Africa",0,0.0166666666666667,10,0.0166666666666667
"35","Senegal","West Africa",0.0557184750733138,0.0591397849462366,31,0.11485826001955
"36","Sierra Leone","West Africa",0.171717171717172,0.277777777777778,9,0.44949494949495
"37","Somalia","East Africa",0.279220779220779,0,14,0.279220779220779
"38","South Africa","South Africa",0,0.00757575757575758,44,0.00757575757575758
"39","South Sudan","East Africa",0.0147420147420147,0.0045045045045045,37,0.0192465192465192
"41","Sudan","East Africa",0.0256916996047431,0.00845410628019324,138,0.0341458058849363
"42","Swaziland","South Africa",0,0.233333333333333,10,0.233333333333333
"45","Togo","West Africa",0.127272727272727,0.0166666666666667,10,0.143939393939394
"46","Turkey","Middle East",0.0772727272727273,0.0166666666666667,20,0.093939393939394
"47","Uganda","East Africa",0.00363636363636364,0.216190476190476,175,0.21982683982684
"48","United Republic of Tanzania","East Africa",0.000763941940412529,0.0784313725490196,119,0.0791953144894321
"49","Yemen","Middle East",0.0638820638820639,0,37,0.0638820638820639
"50","Zambia","South Africa",0,0.0123456790123457,54,0.0123456790123457
"51","Zimbabwe","South Africa",0.0017825311942959,0.0326797385620915,51,0.0344622697563874
